name,price,rating,reviews_count,screen_size,processor,ram,storage,gpu,url,image,source
"Apple MacBook Air MGN63 With 13 Inch Display, M1 Chip 8-Core CPU and 7-Core GPU | 8GB RAM | 256GB SSD | macOS | English/Arabic Space Grey","39,333",4.6,5.6K,"13""",,8GB,256GB SSD,,https://www.noon.com/egypt-en/macbook-air-mgn63-with-13-inch-display-m1-chip-8-core-cpu-and-7-core-gpu-8gb-ram-256gb-ssd-macos-english-arabic-space-grey/N41964615A/p/?o=bf3e37196b557c7b,https://f.nooncdn.com/p/pzsku/Z073CC3975B50405769EBZ/45/_/1779094467/a92d6e7c-610f-4742-9fe0-a67ebe93494d.jpg?width=800,Noon
Apple MacBook Pro MDE34 | 14 Inch Display | Apple M5 Chip | 10-Core CPU And 10-Core GPU | 24GB RAM | 1TB SSD | macOS | English Keyboard | International Version | English Space Black,"114,944",4.5,666,"14""",Apple M5,24GB,1TB SSD,,https://www.noon.com/egypt-en/macbook-pro-mde34-14-inch-display-apple-m5-chip-10-core-cpu-and-10-core-gpu-24gb-ram-1tb-ssd-macos-english-keyboard-international-version-english-space-black/N70248384V/p/?o=e3d59f2864aa669c,https://f.nooncdn.com/p/pzsku/ZB86807EF11E0C21CCF64Z/45/_/1779094632/b78054a3-1c50-4e1d-9249-9e8c3136b051.jpg?width=800,Noon
"Apple New 2024 MacBook Air MRXW3 13-inch Display, Apple M3 Chip 8-Core CPU 10-Core GPU Processor/8GB RAM/512GB SSD/Intel UHD Graphics(International version) Midnight","51,999",4.6,724,"13""",Apple M3,8GB,512GB SSD,Intel UHD,https://www.noon.com/egypt-en/new-2024-macbook-air-mrxw3-13-inch-display-apple-m3-chip-8-core-cpu-10-core-gpu-processor-8gb-ram-512gb-ssd-intel-uhd-graphics-international-version-midnight/N70051920V/p/?o=f8e3c5879356f9cb,https://f.nooncdn.com/p/pzsku/ZAAE18FC6CBA31C4CF912Z/45/_/1779094533/bbb983a6-eea8-40b5-bec6-de20bca5a496.jpg?width=800,Noon
Apple MacBook Pro MDE04 | 14 Inch Display | Apple M5 Chip | 10-Core CPU And 10-Core GPU | 16GB RAM | 512GB SSD | macOS | English Keyboard | International Version | English Space Black,"97,433",4.5,666,"14""",Apple M5,16GB,512GB SSD,,https://www.noon.com/egypt-en/macbook-pro-mde04-14-inch-display-apple-m5-chip-10-core-cpu-and-10-core-gpu-16gb-ram-512gb-ssd-macos-english-keyboard-international-version-english-space-black/N70248386V/p/?o=bc06cf60c1b8694a,https://f.nooncdn.com/p/pzsku/Z2276A3E16D90EAC03BD0Z/45/_/1779094801/3191f163-8b09-48d4-b12d-cbb3f0500182.jpg?width=800,Noon
"Apple MacBook Pro MX2H3 Liquid XDR Retina 14-Inch Display, M4 Pro Chip 12-Core CPU 16-Core GPU Processor/24GB RAM/512GB SSD/macOS(International Version) English Space Black","119,508",4.5,666,"14""",,24GB,512GB SSD,,https://www.noon.com/egypt-en/macbook-pro-mx2h3-liquid-xdr-retina-14-inch-display-m4-pro-chip-12-core-cpu-16-core-gpu-processor-24gb-ram-512gb-ssd-macos-international-version-english-space-black/N70125918V/p/?o=c94b5d372e2aed5a,https://f.nooncdn.com/p/pzsku/ZDC348E47B0C87C4B0EC2Z/45/_/1779094468/f00acc00-d7e2-4faf-b71c-f6309ee4e473.jpg?width=800,Noon
Apple MacBook Air MW0W3 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | Silver,"61,000",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/macbook-air-mw0w3-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-keyboard-international-version-silver/N70154917V/p/?o=cf4dcce2a891ff6d,https://f.nooncdn.com/p/pzsku/ZBCE398830E6CA3CFEA2AZ/45/_/1779095004/adb8705d-0cc4-4615-af5c-5c5357b7d83c.jpg?width=800,Noon
Lenovo LAPTOP LENOVO LOQ 15AHP10 AMD RYZEN 7 250 RAM 16G DDR5 5600 512 SSD M2 NVME VGA NVIDIA RTX 5060 8G DDR7 15.6 FHD 144HZ 2 YEARS WARRENTY 83JG0095ED English/Arabic luna grey,"57,066",2.4,3,,RYZEN 7 250 RAM 16G DDR5 5600 512 SSD M2 NVME VGA NVIDIA RTX 5060 8G DDR7 15,,,RTX 5060,https://www.noon.com/egypt-en/laptop-lenovo-loq-15ahp10-amd-ryzen-7-250-ram-16g-ddr5-5600-512-ssd-m2-nvme-vga-nvidia-rtx-5060-8g-ddr7-15-6-fhd-144hz-2-years-warrenty-83jg0095ed-english-arabic-luna-grey/N70269987V/p/?o=b6ccb01e6f880afb,https://f.nooncdn.com/p/pnsku/N70269987V/45/_/1766080623/9dedbac5-29ad-4fa3-b0fd-8315f4e12bfe.jpg?width=800,Noon
ASUS FX608JMR-RV017W ASUS TUF Gaming F16 Laptop with 16 inch FHD / i7 Processor 14650HX / 16 GB RAM / 1 Tera SSD / NVIDIA® GeForce RTX™ 5060 Laptop GPU / English/ Win11/Jaeger Gray English Jaeger Gray,"73,575",,,"16""",,16GB,,,https://www.noon.com/egypt-en/fx608jmr-rv017w-asus-tuf-gaming-f16-laptop-with-16-inch-fhd-i7-processor-14650hx-16-gb-ram-1-tera-ssd-nvidia-geforce-rtx-5060-laptop-gpu-english-win11-jaeger-gray-english-jaeger-gray/N70247915V/p/?o=bf80977c3d2a3a4a,https://f.nooncdn.com/p/pnsku/N70247915V/45/_/1760537400/9503e413-0c46-48b5-9148-9063e2506dc6.jpg?width=800,Noon
Apple New 2026 MacBook Air MDHE4 | 13 Inch Display | Apple M5 Air | 10-Core CPU 8-Core GPU | 16GB RAM | 512GB SSD | macOS | English And Arabic Keyboard | English/Arabic Midnight,"71,499",4.8,108,"13""",Apple M5,16GB,512GB SSD,,https://www.noon.com/egypt-en/new-2026-macbook-air-mdhe4-13-inch-display-apple-m5-air-10-core-cpu-8-core-gpu-16gb-ram-512gb-ssd-macos-english-and-arabic-keyboard-english-arabic-midnight/N70298811V/p/?o=c840b41ad0da572c,https://f.nooncdn.com/p/pzsku/Z1C500BEA61319CE8EBD5Z/45/_/1779094626/84cbc5ab-334a-4722-b6ab-2dc6689d428a.jpg?width=800,Noon
Apple MacBook Air MC6T4 | 13 Inch Display | Apple M4 Chip | 10-Core CPU 8-Core GPU | 16GB RAM | 256GB SSD | macOS | English Keyboard | International Version | English Sky Blue,"57,230",4.6,2.5K,"13""",Apple M4,16GB,256GB SSD,,https://www.noon.com/egypt-en/macbook-air-mc6t4-13-inch-display-apple-m4-chip-10-core-cpu-8-core-gpu-16gb-ram-256gb-ssd-macos-english-keyboard-international-version-english-sky-blue/N70154913V/p/?o=a70fd96979686b5e,https://f.nooncdn.com/p/pzsku/Z3B754699F60B940FA83DZ/45/_/1779095207/b37cec29-3556-4785-a70a-5c0fe15c1c14.jpg?width=800,Noon
