name,brand,model_name,source,price,rating,reviews_count,screen_size,processor,processor_detail,ram,storage,gpu,gpu_detail,url,image
"DELL Preowned Vostro 3500 – Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, intel UHD up to 4GB, 15.6 Full HD Display - Grade A - Windows - Dark Grey.",Dell,Vostro 3500,Jumia,9999.99,0.0,0,,Intel Core i3,Intel Core i3-1115G4,8GB,256GB SSD,Intel UHD Graphics,Intel UHD Graphics,https://www.jumia.com.eg/dell-preowned-vostro-3500-intel-core-i3-1115g4-8gb-ddr4-ram-256gb-ssd-intel-uhd-up-to-4gb-15.6-full-hd-display-grade-a-windows-dark-grey.-134271866.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/8172431/1.jpg?0517
"DELL Renewed - Latitude 5400 Laptop With 14.1-Inch Display,Intel Core i5/8th Gen/Dual Core/8GB DDR4 RAM/256GB SSD English Black",Dell,Latitude 5400,Noon,10243.0,3.8,15,14.1,Intel Core i5,Intel Core i5,8GB,256GB SSD,Not Specified,Not Specified,https://www.noon.com/egypt-en/renewed-latitude-5400-laptop-with-14-1-inch-display-intel-core-i5-8th-gen-dual-core-8gb-ddr4-ram-256gb-ssd-english-black/N70068456V/p/?o=b90812d614bc0c2d,https://f.nooncdn.com/p/pnsku/N70068456V/45/_/1714662595/131dd24d-4633-4090-ac62-93be77e82d55.jpg?width=800
"HP ProBook 640 G5 Laptop, Intel Core i5-8365U, 256GB SSD, 8GB RAM, Intel UHD Graphics, 14 Inch FHD Display, Windows 10 Pro - Silver (Renewed), Grade A, 6 Months Warranty Silver",Hp,Probook 640 G5,Noon,10760.0,0.0,0,14.0,Intel Core i5,Intel Core i5-8365U,8GB,256GB SSD,Intel UHD Graphics,Intel UHD Graphics,https://www.noon.com/egypt-en/hp-probook-640-g5-laptop-intel-core-i5-8365u-256gb-ssd-8gb-ram-intel-uhd-graphics-14-inch-fhd-display-windows-10-pro-silver-renewed-grade-a-6-months-warranty-silver/N70248303V/p/?o=a47a83ce88f5a87c,https://f.nooncdn.com/p/pnsku/N70248303V/45/_/1760540677/66bd34ee-9db9-4978-ad59-46995b599548.jpg?width=800
"DELL Pre-owned Latitude 5580, 15.6 FHD (1920*1080) intel HD 630 up to 4 GB, Intel Core i7-7820HQ, 8GB RAM, Hard 256GB SSD - Grade A - Black",Dell,Latitude 5580,Jumia,11555.0,0.0,0,,Intel Core i7,Intel Core i7-7820HQ,8GB,256GB SSD,Not Specified,Not Specified,https://www.jumia.com.eg/dell-pre-owned-latitude-5580-15.6-fhd-19201080-intel-hd-630-up-to-4-gb-intel-core-i7-7820hq-8gb-ram-hard-256gb-ssd-grade-a-black-134398722.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/7893431/1.jpg?3005
"Lenovo Miix 720 (2-in-1) , Intel Core i5-7200U , RAM 8GB DDR4 , 256GB SSD M.2 NVMe , Intel HD Graphics 620 , 12 inch 2K LED-IPS Touch Screen English/Arabic Silver",Lenovo,Not Specified,Noon,11875.0,0.0,0,12.0,Intel Core i5,Intel Core i5-7200U,8GB,256GB SSD,Intel HD Graphics,Intel HD Graphics 620,https://www.noon.com/egypt-en/miix-720-2-in-1-intel-core-i5-7200u-ram-8gb-ddr4-256gb-ssd-m-2-nvme-intel-hd-graphics-620-12-inch-2k-led-ips-touch-screen-english-arabic-silver/N70284921V/p/?o=cfcc26992d70b0de,https://f.nooncdn.com/p/pnsku/N70284921V/45/_/1770033055/3af70f95-38eb-4d5c-b85c-b8100079a798.jpg?width=800
"DELL (Upgraded Version) Latitude E5550 With 15.6-Inch Display, Intel Core i5 Processor/4GB RAM/500GB HDD/Intel HD Graphics 5500 / Windows 7 Black Black Black",Dell,Latitude E5550,Noon,12500.0,0.0,0,15.6,Intel Core i5,Intel Core i5 Processor,4GB,500GB HDD,Intel HD Graphics,Intel HD Graphics 5500,https://www.noon.com/egypt-en/upgraded-version-latitude-e5550-with-15-6-inch-display-intel-core-i5-processor-4gb-ram-500gb-hdd-intel-hd-graphics-5500-windows-7-black-black-black/N12402507A/p/?o=c55ebc40ae516cca,https://f.nooncdn.com/p/v1514871615/N12402507A_1.jpg?width=800
"Lenovo Chromebook 14"" FHD / AMD A4-9120C / 4GB RAM / 32GB SSD / Radeon R3 / grey",Lenovo,Not Specified,Noon,12777.0,0.0,0,14.0,AMD A-series,AMD A4-9120C,4GB,32GB SSD,Not Specified,Not Specified,https://www.noon.com/egypt-en/lenovo-chromebook-14-fhd-amd-a4-9120c-4gb-ram-32gb-ssd-radeon-r3-grey/N70289954V/p/?o=b01c081de5a6dbbc,https://f.nooncdn.com/p/pnsku/N70289954V/45/_/1770900709/fd6cf4e0-106a-4c3b-9ef1-6dd2a92ab625.jpg?width=800
"Lenovo Renewed ThinkPad E15 Gen2- Intel Core i3-1115G4 , Ram 8GB RAM , Hard 256GB SSD, 15.6"" FHD Display - intel UHD Graphics - Black",Lenovo,Thinkpad E15,Jumia,12999.99,0.0,0,15.6,Intel Core i3,Intel Core i3-1115G4,8GB,256GB SSD,Intel UHD Graphics,Intel UHD Graphics,https://www.jumia.com.eg/lenovo-renewed-thinkpad-e15-gen2-intel-core-i3-1115g4-ram-8gb-ram-hard-256gb-ssd-15.6-fhd-display-intel-uhd-graphics-black-134517217.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/2715431/1.jpg?6476
"HP Probook 640 G2 Laptop With 14-Inch Display, Intel Core i3 Processor/4GB RAM/1TB HDD/Intel HD Graphics 620 DOS Black",Hp,Probook 640 G2,Noon,13600.0,3.0,3,14.0,Intel Core i3,Intel Core i3 Processor,4GB,1TB HDD,Intel HD Graphics,Intel HD Graphics 620,https://www.noon.com/egypt-en/probook-640-g2-laptop-with-14-inch-display-intel-core-i3-processor-4gb-ram-1tb-hdd-intel-hd-graphics-620-dos-black/N33821998A/p/?o=a9d751541c281efa,https://f.nooncdn.com/p/v1610695440/N33821998A_1.jpg?width=800
"HP EliteBook 755 G5 Laptop With 15.6-Inch Display, Ryzen 7 Processor/8GB RAM/256GB SSD/AMD Radeon Vega Graphics Black/Silver",Hp,Elitebook 755 G5,Noon,15829.0,0.0,0,15.6,AMD Ryzen 7,Ryzen 7 Processor,8GB,256GB SSD,Not Specified,Not Specified,https://www.noon.com/egypt-en/elitebook-755-g5-laptop-with-15-6-inch-display-ryzen-7-processor-8gb-ram-256gb-ssd-amd-radeon-vega-graphics-black-silver/N35178796A/p/?o=ff5cd5e71dbe942e,https://f.nooncdn.com/p/v1582885786/N35178796A_1.jpg?width=800
